# DExtra_Hosts.txt
#
# The format of this file is the name of the reflector followed by its
# IP address.
#

XRF001  93.174.138.180
XRF002	193.16.217.17
XRF003	95.110.157.13
XRF004	96.36.58.9
XRF005	216.16.240.236
XRF006	80.62.20.151
XRF007	84.232.6.94
XRF008	87.106.84.53
XRF012	xreflector12.dstarsandiego.com
XRF013	202.191.108.233
XRF017	87.253.159.18
XRF019	66.30.81.236
XRF020	184.154.35.204
XRF021	74.204.50.67
XRF023	141.75.245.225
XRF026	139.13.100.34
XRF027	194.116.29.66
XRF028	193.190.240.228
XRF031	83.241.141.245
XRF033	46.226.178.81
XRF038	66.6.171.228
XRF040	81.92.217.142
XRF044	82.1.185.173
XRF055	95.110.229.195
XRF069	91.142.215.194
XRF073	147.102.7.34
XRF119	192.210.137.151
XRF121	192.254.139.186
XRF123	213.126.90.100
XRF150	91.223.115.32
XRF222	87.106.6.135
XRF250	xrf250.dstar.su
XRF310	server1.xrefl.net
XRF333	xrf333.f1smf.com
XRF353	62.30.114.194
XRF444	71.40.84.59
XRF587	75.76.90.90
XRF669	xrf669.no-ip.org
XRF707	14541.no-ip.org
XRF727	w4icy.inerrantenergy.com
XRF777	62.167.15.53
XRF851	xrf851.rsdt.de
XRF858	xrf858.no-ip.org
XRF901	n1dot.no-ip.org
XRFWDX	xrfwdx.ham-radio-op.net
