# DExtra_Hosts.txt
#
# The format of this file is the name of the reflector followed by its
# IP address.
#

XRF001  93.174.138.180
XRF002	193.16.217.17
XRF003	95.110.226.76
XRF004	96.36.58.9
XRF005	216.16.240.236
XRF006	80.62.20.151
XRF007	84.232.6.94
XRF008	95.110.231.219
XRF012	173.162.203.33
XRF013	202.191.108.233
XRF017	87.253.159.18
XRF019	66.30.81.236
XRF020	184.154.35.204
XRF021	74.204.50.67
XRF023	141.75.245.225
XRF026	139.13.100.34
XRF027	194.116.29.66
XRF028	193.190.240.228
XRF031	83.241.141.245
XRF033	46.226.178.81
XRF040	81.92.217.142
XRF044	82.1.185.173
XRF055	95.110.229.195
XRF069	91.142.215.194
XRF073	147.102.7.34
XRF119	96.8.121.18
XRF123	213.126.90.100
XRF222	87.106.6.135
XRF333	91.121.98.37
XRF353	62.30.114.194
XRF587	xrf587.no-ip.org
XRF669	xrf669.no-ip.org
XRF777	62.167.15.53
# XRF813 
XRF901	n1dot.dyndns.org
