# DExtra_Hosts.txt
#
# The format of this file is the name of the reflector followed by its
# IP address.
#

XRF000	000.xreflector.org
XRF001	75.76.90.90 
XRF002	91.201.57.233 
XRF003	95.110.157.83
XRF004	96.36.58.9 
XRF005	216.16.240.236 
XRF006	80.62.20.151 
XRF007	xrf007.ea5gf.es
XRF008	95.110.231.219 
XRF009	141.22.15.29 
XRF010	87.106.48.7 
XRF011	87.106.3.249 
XRF012	67.207.216.61 
XRF013	xrf013.vkradio.com
XRF014	xrf014.iz0rin.it
XRF015	xrf015.theapplecore.me
XRF017	87.253.159.114 
XRF018	199.167.129.166 
XRF019	66.30.81.236 
XRF020	67.210.212.144 
XRF021	44.103.32.250 
XRF022	xrf022.tms-it.net
XRF023	141.75.245.225 
XRF024	xrf024.dstar.at
XRF025	63.133.189.2 
XRF026	139.13.100.34 
XRF027	194.116.29.78
XRF028	stn028.dstar.be
XRF029	tyrol-dstar.ddns.net
XRF030	xrf030.oe3xht.at
XRF031	83.241.141.245 
XRF033	46.226.178.81 
XRF036	xrf036.ddns.net
XRF037	185.58.193.163 
XRF038	66.6.171.228 
XRF040	xrf040.dyndns.org
XRF041	167.88.37.80 
XRF043	xrf043.aotnet.it
XRF044	82.1.185.173 
XRF045	045.xreflector.org
XRF045	167.88.37.93 
XRF050	050.xreflector.org
XRF055	95.110.229.195 
XRF063	162.248.141.148
XRF067	xrf067.f5kav.org
XRF069	xlx069.sustrai.org
XRF070	xrf070.iptime.org
XRF073	147.102.7.34 
XRF075	xrf075.ir9bs.it
XRF077	xrf077.duckdns.org
XRF078	217.112.102.132
XRF084	xrf084.fabbroni.eu
XRF088	xrf088.pa4tw.nl
XRF090	46.37.185.184 
XRF099	76.71.89.114 
XRF100	88.46.211.5
XRF111	5.196.3.184
XRF112	92.222.47.175
XRF117	xrf117.dyndns.org
XRF119	149.154.158.170 
XRF123	213.126.90.100 
XRF133	xrf133.gb7de.co.uk
XRF168	xrf168.duckdns.org
XRF185	xrf185.dyndns.org
XRF200	xrf200.theapplecore.me
XRF204	ref204.ph0dv.nl
XRF210	210.xreflector.org
XRF226	216.158.224.28
XRF228	xrf228.duckdns.org
XRF232	xrf232.tms-it.net
XRF250	xrf250.dstar.su
XRF255	xrf255.reflector.up4dar.de
XRF262	xrf262.reflector.up4dar.de
XRF270	158.64.26.132 
XRF270	xrf270.epf.lu
XRF295	104.167.96.2 
XRF300	300.xreflector.org
XRF307	104.167.106.95
XRF310	server1.xrefl.net
XRF311	xrf311.ernix.de
XRF317	xrf317.crossroadsdmr.org
XRF333	xrf333.f1smf.com
XRF345	104.167.114.4
