# DCS_Hosts.txt
#
# The format of this file is the name of the reflector followed by its
# IP address.
#

#>>Downloaded from W6KD host file server
#>>Last updated 18 JUN 2016 by W6KD

DCS001  dcs001.xreflector.net 
DCS002  dcs002.xreflector.net 
DCS003  dcs003.xreflector.net 
DCS004  dcs004.xreflector.net 
DCS005  dcs005.xreflector.net 
DCS006  dcs006.xreflector.net 
DCS007  dcs007.xreflector.net 
DCS008  dcs008.xreflector.net 
DCS009  dcs009.xreflector.net 
DCS010  dcs010.xreflector.net 
DCS011  dcs011.xreflector.net 
DCS012  dcs012.xreflector.net 
DCS013  dcs013.xreflector.net 
DCS014  dcs014.xreflector.net 
DCS015  dcs015.xreflector.net 
DCS016  dcs016.xreflector.net 
DCS017  dcs017.xreflector.net 
DCS018  dcs018.xreflector.net 
DCS019  dcs019.xreflector.net 
#DCS020  dcs020.xreflector.net 
DCS021  dcs021.xreflector.net 
DCS022  dcs022.xreflector.net 
DCS023  dcs023.xreflector.net 
DCS024  dcs024.xreflector.net 
DCS025  dcs025.xreflector.net 
DCS026	dcs026.xreflector.net 
DCS027  dcs027.xreflector.net 
DCS028  dcs028.xreflector.net 
DCS029  dcs029.xreflector.net 
#DCS030	dcs030.xreflector.net 
#DCS031	dcs031.xreflector.net 
DCS032	dcs032.xreflector.net 
DCS033  dcs033.xreflector.net 
#DCS034	dcs034.xreflector.net 
#DCS035	dcs035.xreflector.net 
#DCS036	dcs036.xreflector.net 
#DCS037	dcs037.xreflector.net 
#DCS038	dcs038.xreflector.net 
#DCS039	dcs039.xreflector.net 
#DCS040	dcs040.xreflector.net 
#DCS041	dcs041.xreflector.net 
#DCS042	dcs042.xreflector.net 
#DCS043	dcs043.xreflector.net 
DCS044	dcs044.xreflector.net 
DCS111	dcs111.xreflector.net 
DCS212	xlx212.dstar.club 
DCS308	xlx308.w6kd.com
DCS313	xlx313.xrefl.net
DCS314	xlx314.xrefl.net
DCS315	xlx315.xrefl.net
DCS316	xlx316.xrefl.net
DCS357	xlx357.w6kd.com
DCS610	dcs610.vkradio.com
DCS850	xrf850.xrfmaster.net
