# DExtra_Hosts.txt
#
# The format of this file is the name of the reflector followed by its
# IP address.
#

XRF000	000.xreflector.org
XRF001	75.76.90.90 
XRF002	91.201.57.233 
XRF003	xrf003.iw0red.it
XRF004	96.36.58.9 
XRF005	216.16.240.236 
XRF006	80.62.20.151 
XRF007	84.232.6.94 
XRF008	95.110.231.219 
XRF009	141.22.15.29 
XRF010	87.106.48.7 
XRF011	87.106.3.249 
XRF012	xrf012.papasys.com
XRF013	xrf013.vkradio.com
XRF014	xrf014.iz0rin.it
XRF015	xrf015.theapplecore.me
XRF017	87.253.159.114 
XRF018	199.167.129.166 
XRF019	66.30.81.236 
XRF020	67.210.212.144 
XRF021	74.204.50.67 
XRF022	xrf022.tms-it.net
XRF023	141.75.245.225 
XRF024	xrf024.dstar.at
XRF025	63.133.189.2 
XRF026	139.13.100.34 
XRF027	194.116.29.78
XRF028	193.190.240.228 
XRF030	xrf030.oe3xht.at
XRF031	83.241.141.245 
XRF033	46.226.178.81 
XRF036	xrf036.ddns.net
XRF037	185.58.193.163
XRF038	66.6.171.228 
XRF040	xrf040.dyndns.org
XRF041	167.88.37.80 
XRF042	xrf042.luthienstar.fr
XRF043	xrf043.aotnet.it
XRF044	82.1.185.173 
XRF045	045.xreflector.org
XRF050	050.xreflector.org
XRF055	95.110.229.195 
XRF063	162.248.141.148
XRF067	xrf067.f5kav.org
XRF069	069.xreflector.es
XRF070	xrf070.iptime.org
XRF073	147.102.7.34 
XRF077	xrf077.duckdns.org
XRF078	217.112.102.132
XRF084	xrf084.fabbroni.eu
XRF088	xrf088.pa4tw.nl
XRF090	46.37.185.184 
XRF099	76.71.89.114 
XRF100	88.46.211.5
XRF111	5.196.3.184
XRF112	92.222.47.175
XRF113	113.dstarspain.es
XRF117	xrf117.dyndns.org
XRF118	xrf118.dyndns.org
XRF119	149.154.158.170 
XRF123	213.126.90.100 
XRF133	xrf133.gb7de.co.uk
XRF150	xrf150.dstarspain.es
XRF168	xrf168.duckdns.org
XRF185	xrf185.dyndns.org
XRF200	xrf200.theapplecore.me
XRF210	210.xreflector.org
XRF228	xrf228.duckdns.org
XRF232	xrf232.tms-it.net
XRF250	xrf250.dstar.su
XRF255	xrf255.reflector.up4dar.de
XRF260	93.182.23.51
XRF262	xrf262.reflector.up4dar.de
XRF270	xrf270.reflector.up4dar.de
XRF295	104.167.96.2 
XRF295	xrf295.dyndns.org
XRF307	104.167.106.95
XRF310	server1.xrefl.net
XRF333	xrf333.f1smf.com
XRF345	104.167.114.4
XRF350	350.dstarspain.es
XRF353	94.173.206.53 
XRF390	xrf390.aotnet.it
XRF400	xrf400.no-ip.org
XRF420	kc9qen.com
XRF423	4ix.hacktic.de
XRF433	xrf433.de
XRF444	70.125.157.44 
XRF450	450.xreflector.org
XRF456	149.202.45.162
XRF500	xrf500.org
XRF502	66.240.187.126
XRF550	550.xreflector.es
XRF555	54.191.67.121
XRF559	98.239.113.175 
XRF580	67.20.31.79 
XRF600	xrf600.gb7de.co.uk
XRF603	74.104.179.159 
XRF666	vpngrf.webandcloud.net #VPN
XRF669	xrf669.no-ip.org
XRF707	xrf707.openquad.net
XRF714	xrf714.ea3hkb.com
XRF720	204.45.107.21 
XRF727	108.33.72.83 
XRF740	imagewell.duckdns.org
XRF747	xrf747.de
XRF748	104.167.109.27 
XRF757	xrf757.openquad.net
XRF773	xrf773.iz0rin.it
XRF777	112.218.40.91
XRF780	96.53.97.22 
XRF850	xrf850.xrfmaster.net
XRF851	xrf851.rsdt.de
XRF858	198.57.255.30 
XRF870	103.18.207.114
XRF888	888.xreflector.es
XRF901	xrf901.dyndns.org
XRF902	xrf902.dyndns.org
XRF905	199.212.121.20 
XRF906	xrf906.radioclubveleta.es
XRF909	216.86.147.198
XRF911	217.196.138.39 
XRF911	xrf911.ns0.it
XRF929	xrf929.ddns.net
XRF978	74.104.179.159 
XRF987	xrf987.metro-uhf.org
XRF988	988.xreflector.es
XRF989	xrf989.bbhill.net
XRFWDX	xrfwdx.ham-radio-op.net
