# DPlus_Hosts.txt
#
# The format of this file is the name of the reflector/gateway followed by its
# IP address.
#

REF001	192.3.202.54 
REF002	129.93.2.132 
REF003	203.194.18.195 
REF004	74.204.50.19 
REF005	192.3.202.53 
REF006	78.158.56.61 
REF007	208.111.3.180 
REF008	58.1.235.43 
REF009	204.89.198.18 
REF010	12.178.74.6 
REF011	213.203.177.246 
REF012	209.112.244.26
REF014	64.250.229.185 
REF015	109.69.104.196 
REF016	204.244.106.103 
REF017	80.69.86.233 
REF018	187.50.254.20 
REF019	209.242.228.27 
REF020	50.199.88.20 
REF023	103.1.213.18
REF024	69.41.0.15 
REF025	173.10.178.226 
REF026	206.12.104.8 
REF027	194.116.29.72 
REF028	193.190.240.229 
REF029	129.123.7.23 
REF030	64.16.212.14 
REF031	212.112.188.111 
REF032	95.160.171.254 
REF033	208.67.255.202 
REF034	74.81.71.218 
REF035	146.129.247.243 
REF036	195.194.238.109 
REF037	208.111.3.181 
REF038	66.6.171.227 
REF039	208.93.191.20 
REF041	129.105.15.195 
REF042	151.249.104.38 
REF043	88.80.19.217 
REF045	195.251.201.194 
REF046	208.111.3.182 
REF047	157.7.142.13 
REF048	208.88.66.244 
REF050	75.147.26.195 
REF051	50.57.153.17 
REF052	12.5.239.46 
REF053	69.67.29.232 
REF054	216.249.104.190 
REF055	207.251.62.205 
REF056	12.166.228.165 
REF057	77.70.61.138 
REF058	131.204.255.253 
REF059	104.131.247.122
REF060	50.194.6.1 
REF061	64.150.149.59 
REF062	70.88.145.165
REF063	205.201.0.4
REF064	61.195.99.81 
REF065	24.159.132.93
REF066	173.255.196.45
REF067	44.34.128.19
REF068	92.222.145.197
REF069	70.91.220.113
REF070	65.50.211.156
REF071	61.195.97.218
REF072	168.103.98.244
REF073	68.67.124.145
REF074	68.67.124.146
REF075	51.254.220.4
9A0DZD	109.227.32.49 
AA1HD	173.166.94.241 
AA1KK	71.192.32.251 
AA3E	70.91.6.205 
AC6SO	99.189.117.207 
AC7O	205.208.222.102 
AF2A	24.97.114.22 
AJ5Q	24.117.111.234 
CE3AA	190.22.144.50 
CQ0DBO	2.80.9.159 
CQ0DFO	89.214.167.62 
CQ0DGM	188.251.244.85 
CQ0DLX	188.93.239.212 
CQ0DSI	79.169.225.144 
CQ0DSL	213.63.1.113 
CQ0DTV	81.193.37.219 
DB0AFZ	5.10.169.82 
DB0AMK	79.221.135.249 
DB0BS	129.217.181.234 
DB0CW	91.51.163.188 
DB0DBN	93.214.174.190 
DB0DDO	85.22.118.167 
DB0DF	92.200.0.89 
DB0DJ	217.92.28.60 
DB0DLR	92.196.107.204 
DB0DON	62.204.165.203 
DB0HAA	93.197.243.85 
DB0HDF	146.52.72.132 
DB0HEW	89.204.153.99 
DB0HHO	176.0.54.125 
DB0HRR	84.171.15.48 
DB0ICM	217.91.202.71 
DB0KH	91.5.33.160 
DB0KLI	5.56.177.170 
DB0LAM	79.194.202.136 
DB0MAR	109.45.31.148 
DB0NU	84.166.59.100 
DB0OHA	77.22.33.52 
DB0ORT	193.197.184.11 
DB0REU	93.210.200.46 
DB0SIF	93.229.154.234 
DB0ST	95.113.146.225 
DB0WHV	79.227.32.107 
DB0WK	88.75.25.196 
DB0WTV	79.227.17.108 
DB0WUN	79.225.106.66 
DB0WZ	91.214.10.222 
DB0WZB	217.6.32.154 
DB0ZB	178.25.255.107 
DB0ZKA	91.61.242.108 
DB0ZO	80.136.220.165 
DF0GC	87.187.254.209 
DF0WUN	178.25.255.107 
DM0HEI	87.154.57.79 
DM0HHW	31.16.121.50 
DM0LEI	77.64.253.210 
DM0SAT	84.146.225.233 
DM0ULM	93.132.85.192 
DO0TPB	47.70.144.127 
EA3RCC	80.28.236.210 
EA3URE	77.229.83.110 
